Class,n,Variable,Mean,SD,Min,Max,CI_lo,CI_hi
Male,75,LHU,28.76,2.43,23.29,35.86,28.19,29.33
Male,75,Peso,2.49,0.62,1.7,5.3,2.36,2.64
Male,75,AB,10.78,0.79,8.3,13.06,10.59,10.95
Female,47,LHU,28.64,3.4,21.23,38.76,27.72,29.63
Female,47,Peso,2.43,0.72,1.2,4.5,2.24,2.64
Female,47,AB,10.72,1.09,8.14,12.8,10.42,11.02
Juvenile,25,LHU,24.57,3.04,20.72,31.46,23.44,25.75
Juvenile,25,Peso,1.72,0.61,1.0,3.5,1.49,1.97
Juvenile,25,AB,8.8,1.2,6.93,11.67,8.35,9.27
Unknown,129,LHU,28.89,2.57,22.34,36.54,28.45,29.34
Unknown,129,Peso,2.47,0.56,1.3,4.1,2.37,2.56
Unknown,129,AB,10.59,1.03,8.01,13.01,10.42,10.77
